wav_file,wav_path,start_time,end_time,duration_s,has_metar,n_adsb_pings,n_aircraft,aircraft_in_window
52.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\52.wav,2020-10-22 23:30:51.833628,2020-10-22 23:45:52.514051,900.680423,False,3031,12,"['FDY238', 'FDY338', 'N13337', 'N205JQ', 'N230FR', 'N246PK', 'N474LF', 'N62104', 'N947FE', 'N9642F', 'RPA5632', 'WIG7464']"
53.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\53.wav,2020-10-22 23:45:59.329475,2020-10-22 23:54:12.709638,493.380163,False,1356,7,"['FDY238', 'N13337', 'N474LF', 'N62104', 'N9642F', 'RPA5632', 'WIG7464']"
56.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\56.wav,2020-10-23 00:48:49.946707,2020-10-23 00:50:28.736246,98.789539,False,0,0,[]
57.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\57.wav,2020-10-23 01:05:19.297528,2020-10-23 01:13:14.730161,475.432633,False,0,0,[]
58.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\58.wav,2020-10-23 01:23:34.268033,2020-10-23 01:28:35.958102,301.690069,False,0,0,[]
59.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\59.wav,2020-10-23 02:06:33.445591,2020-10-23 02:14:57.748465,504.302874,False,0,0,[]
6.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\6.wav,2020-10-22 12:58:01.066552,2020-10-22 13:13:01.949057,900.882505,False,1403,6,"['LXJ421', 'N13337', 'N40WV', 'N421FX', 'N6683S', 'UAL2089']"
60.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\60.wav,2020-10-23 02:15:55.469827,2020-10-23 02:25:15.766566,560.296739,False,0,0,[]
61.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\61.wav,2020-10-23 02:26:28.173142,2020-10-23 02:38:55.341183,747.168041,False,0,0,[]
7.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\7.wav,2020-10-22 13:13:08.461548,2020-10-22 13:28:08.726309,900.264761,False,1371,5,"['FDY277', 'LXJ421', 'N53226', 'N6683S', 'N932SP']"
8.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\8.wav,2020-10-22 13:28:15.272248,2020-10-22 13:43:15.616793,900.344545,False,2764,7,"['AAL745', 'FDY333', 'N13337', 'N53226', 'N600AL', 'N6683S', 'N6886D']"
9.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\9.wav,2020-10-22 13:43:22.344765,2020-10-22 13:46:42.263779,199.919014,False,629,4,"['N13337', 'N600AL', 'N6683S', 'N6886D']"
